locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Sopot,,5,116,2990000,25847,Oferta biura nieruchomości,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-sopot-5-pokojowe-115-m2-v1l2p3,https://s2.adresowa.pl/oi/32/39/38dad4_62d0_cover-5-pokojowe-mieszkanie-sopot.jpg
Sopot,ul. Tadeusza Kościuszki,3,71,2280000,32081,Oferta biura nieruchomości,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-sopot-ul-tadeusza-kosciuszki-3-pokojowe-p7l8q4,https://s2.adresowa.pl/oi/46/21/389b94_9b81_cover-3-pokojowe-mieszkanie-sopot-ul-tadeusza-kosciuszki.jpg
Sopot,ul. gen. Władysława Andersa,6,123,1595000,12967,Bez pośredników,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-sopot-ul-gen-wladyslawa-andersa-6-pokojowe-k2o7c1,https://s2.adresowa.pl/oi/1a/6e/34e35a_97be_cover-6-pokojowe-mieszkanie-sopot-ul-gen-wladyslawa-andersa.jpg
Sopot Kamienny Potok,ul. Wejherowska,2,37,730000,19929,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-sopot-kamienny-potok-ul-wejherowska-2-pokojowe-t6q5q4,https://s2.adresowa.pl/oi/7b/6a/33ac2c_a964_cover-2-pokojowe-mieszkanie-sopot-kamienny-potok-ul-wejherowska.jpg
Sopot,ul. Władysława Łokietka,4,110,2900000,26364,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-sopot-ul-wladyslawa-lokietka-4-pokojowe-h0v3f8,https://s2.adresowa.pl/oi/55/69/32f1ac_94bf_cover-4-pokojowe-mieszkanie-sopot-ul-wladyslawa-lokietka.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/sopot/brodwino/,
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Sopot,ul. Floriana Ceynowy,2,54,1290000,23889,Oferta biura nieruchomości,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-sopot-ul-floriana-ceynowy-2-pokojowe-n4s7o3,https://s2.adresowa.pl/oi/7b/6e/38665c_4755_cover-2-pokojowe-mieszkanie-sopot-ul-floriana-ceynowy.jpg
Sopot,,4,91,1850000,20442,Oferta biura nieruchomości,ponad miesiąc temu,24,https://adresowo.pl/o/mieszkanie-sopot-4-pokojowe-90-m2-h4w9m1,https://s2.adresowa.pl/oi/7b/44/37f860_7106_cover-4-pokojowe-mieszkanie-sopot.jpg
